Data Point 	Date 	Time 	Aerosol mg/m^3
1	11/21/22	19:05:47	0.001
2	11/21/22	19:06:47	0.001
3	11/21/22	19:07:47	0
4	11/21/22	19:08:47	0.001
5	11/21/22	19:09:47	0.002
6	11/21/22	19:10:47	0
7	11/21/22	19:11:47	0
8	11/21/22	19:12:47	0.001
9	11/21/22	19:13:47	0.001
10	11/21/22	19:14:47	0
11	11/21/22	19:15:47	0.001
12	11/21/22	19:16:47	0.001
13	11/21/22	19:17:47	0
14	11/21/22	19:18:47	0.001
15	11/21/22	19:19:47	0.003
16	11/21/22	19:20:47	0.001
17	11/21/22	19:21:47	0.001
18	11/21/22	19:22:47	0
19	11/21/22	19:23:47	0.002
20	11/21/22	19:24:47	0.001
21	11/21/22	19:25:47	0.001
22	11/21/22	19:26:47	0.001
23	11/21/22	19:27:47	0.001
24	11/21/22	19:28:47	0.001
25	11/21/22	19:29:47	0.002
26	11/21/22	19:30:47	0
27	11/21/22	19:31:47	0.001
28	11/21/22	19:32:47	0.001
29	11/21/22	19:33:47	0.001
30	11/21/22	19:34:47	0.001
31	11/21/22	19:35:47	0.002
32	11/21/22	19:36:47	0.001
33	11/21/22	19:37:47	0.001
34	11/21/22	19:38:47	0
35	11/21/22	19:39:47	0
36	11/21/22	19:40:47	0.001
37	11/21/22	19:41:47	0
38	11/21/22	19:42:47	0.001
39	11/21/22	19:43:47	0.002
40	11/21/22	19:44:47	0.001
41	11/21/22	19:45:47	0.001
42	11/21/22	19:46:47	0.001
43	11/21/22	19:47:47	0
44	11/21/22	19:48:47	0.001
45	11/21/22	19:49:47	0
46	11/21/22	19:50:47	0.001
47	11/21/22	19:51:47	0.001
48	11/21/22	19:52:47	0.001
49	11/21/22	19:53:47	0.001
50	11/21/22	19:54:47	0.001
51	11/21/22	19:55:47	0.001
52	11/21/22	19:56:47	0.001
53	11/21/22	19:57:47	0.001
54	11/21/22	19:58:47	0
55	11/21/22	19:59:47	0.001
56	11/21/22	20:00:47	0.001
57	11/21/22	20:01:47	0.001
58	11/21/22	20:02:47	0.001
59	11/21/22	20:03:47	0.001
60	11/21/22	20:04:47	0.001
61	11/21/22	20:05:47	0
62	11/21/22	20:06:47	0
63	11/21/22	20:07:47	0.001
64	11/21/22	20:08:47	0
65	11/21/22	20:09:47	0.001
66	11/21/22	20:10:47	0
67	11/21/22	20:11:47	0.001
68	11/21/22	20:12:47	0.001
69	11/21/22	20:13:47	0.002
70	11/21/22	20:14:47	0.001
71	11/21/22	20:15:47	0.001
72	11/21/22	20:16:47	0.001
73	11/21/22	20:17:47	0.001
74	11/21/22	20:18:47	0.001
75	11/21/22	20:19:47	0.001
76	11/21/22	20:20:47	0.001
77	11/21/22	20:21:47	0
78	11/21/22	20:22:47	0.001
79	11/21/22	20:23:47	0.001
80	11/21/22	20:24:47	0
81	11/21/22	20:25:47	0.001
82	11/21/22	20:26:47	0.001
83	11/21/22	20:27:47	0.001
84	11/21/22	20:28:47	0.001
85	11/21/22	20:29:47	0.001
86	11/21/22	20:30:47	0
87	11/21/22	20:31:47	0.002
88	11/21/22	20:32:47	0.001
89	11/21/22	20:33:47	0.001
90	11/21/22	20:34:47	0.002
91	11/21/22	20:35:47	0
92	11/21/22	20:36:47	0.002
93	11/21/22	20:37:47	0
94	11/21/22	20:38:47	0
95	11/21/22	20:39:47	0.001
96	11/21/22	20:40:47	0.001
97	11/21/22	20:41:47	0.001
98	11/21/22	20:42:47	0
99	11/21/22	20:43:47	0.001
100	11/21/22	20:44:47	0
101	11/21/22	20:45:47	0.002
102	11/21/22	20:46:47	0.001
103	11/21/22	20:47:47	0
104	11/21/22	20:48:47	0.001
105	11/21/22	20:49:47	0.001
106	11/21/22	20:50:47	0.001
107	11/21/22	20:51:47	0.001
108	11/21/22	20:52:47	0.001
109	11/21/22	20:53:47	0
110	11/21/22	20:54:47	0.001
111	11/21/22	20:55:47	0.001
112	11/21/22	20:56:47	0
113	11/21/22	20:57:47	0
114	11/21/22	20:58:47	0.002
115	11/21/22	20:59:47	0
116	11/21/22	21:00:47	0
117	11/21/22	21:01:47	0
118	11/21/22	21:02:47	0
119	11/21/22	21:03:47	0
120	11/21/22	21:04:47	0
121	11/21/22	21:05:47	0
122	11/21/22	21:06:47	0
123	11/21/22	21:07:47	0.001
124	11/21/22	21:08:47	0
125	11/21/22	21:09:47	0
126	11/21/22	21:10:47	0
127	11/21/22	21:11:47	0
128	11/21/22	21:12:47	0.001
129	11/21/22	21:13:47	0
130	11/21/22	21:14:47	0
131	11/21/22	21:15:47	0
132	11/21/22	21:16:47	0.001
133	11/21/22	21:17:47	0
134	11/21/22	21:18:47	0
135	11/21/22	21:19:47	0
136	11/21/22	21:20:47	0
137	11/21/22	21:21:47	0
138	11/21/22	21:22:47	0
139	11/21/22	21:23:47	0
140	11/21/22	21:24:47	0
141	11/21/22	21:25:47	0
142	11/21/22	21:26:47	0
143	11/21/22	21:27:47	0
144	11/21/22	21:28:47	0
145	11/21/22	21:29:47	0
146	11/21/22	21:30:47	0
147	11/21/22	21:31:47	0
148	11/21/22	21:32:47	0.001
149	11/21/22	21:33:47	0
150	11/21/22	21:34:47	0.001
151	11/21/22	21:35:47	0
152	11/21/22	21:36:47	0.001
153	11/21/22	21:37:47	0
154	11/21/22	21:38:47	0
155	11/21/22	21:39:47	0
156	11/21/22	21:40:47	0
157	11/21/22	21:41:47	0
158	11/21/22	21:42:47	0
159	11/21/22	21:43:47	0
160	11/21/22	21:44:47	0
161	11/21/22	21:45:47	0
162	11/21/22	21:46:47	0
163	11/21/22	21:47:47	0
164	11/21/22	21:48:47	0
165	11/21/22	21:49:47	0
166	11/21/22	21:50:47	0
167	11/21/22	21:51:47	0
168	11/21/22	21:52:47	0
169	11/21/22	21:53:47	0
170	11/21/22	21:54:47	0
171	11/21/22	21:55:47	0
172	11/21/22	21:56:47	0.001
173	11/21/22	21:57:47	0
174	11/21/22	21:58:47	0
175	11/21/22	21:59:47	0
176	11/21/22	22:00:47	0
177	11/21/22	22:01:47	0
178	11/21/22	22:02:47	0
179	11/21/22	22:03:47	0
180	11/21/22	22:04:47	0
181	11/21/22	22:05:47	0
182	11/21/22	22:06:47	0.001
183	11/21/22	22:07:47	0
184	11/21/22	22:08:47	0
185	11/21/22	22:09:47	0
186	11/21/22	22:10:47	0
187	11/21/22	22:11:47	0
188	11/21/22	22:12:47	0.001
189	11/21/22	22:13:47	0
190	11/21/22	22:14:47	0
191	11/21/22	22:15:47	0
192	11/21/22	22:16:47	0
193	11/21/22	22:17:47	0
194	11/21/22	22:18:47	0
195	11/21/22	22:19:47	0
196	11/21/22	22:20:47	0
197	11/21/22	22:21:47	0
198	11/21/22	22:22:47	0
199	11/21/22	22:23:47	0.001
200	11/21/22	22:24:47	0
201	11/21/22	22:25:47	0
202	11/21/22	22:26:47	0
203	11/21/22	22:27:47	0.003
204	11/21/22	22:28:47	0
205	11/21/22	22:29:47	0.001
206	11/21/22	22:30:47	0
207	11/21/22	22:31:47	0
208	11/21/22	22:32:47	0
209	11/21/22	22:33:47	0
210	11/21/22	22:34:47	0
211	11/21/22	22:35:47	0
212	11/21/22	22:36:47	0
213	11/21/22	22:37:47	0
214	11/21/22	22:38:47	0
215	11/21/22	22:39:47	0
216	11/21/22	22:40:47	0
217	11/21/22	22:41:47	0
218	11/21/22	22:42:47	0
219	11/21/22	22:43:47	0.001
220	11/21/22	22:44:47	0
221	11/21/22	22:45:47	0
222	11/21/22	22:46:47	0
223	11/21/22	22:47:47	0
224	11/21/22	22:48:47	0
225	11/21/22	22:49:47	0
226	11/21/22	22:50:47	0
227	11/21/22	22:51:47	0
228	11/21/22	22:52:47	0
229	11/21/22	22:53:47	0
230	11/21/22	22:54:47	0
231	11/21/22	22:55:47	0
232	11/21/22	22:56:47	0
233	11/21/22	22:57:47	0
234	11/21/22	22:58:47	0
235	11/21/22	22:59:47	0
236	11/21/22	23:00:47	0
237	11/21/22	23:01:47	0
238	11/21/22	23:02:47	0
239	11/21/22	23:03:47	0
240	11/21/22	23:04:47	0
241	11/21/22	23:05:47	0
242	11/21/22	23:06:47	0.001
243	11/21/22	23:07:47	0
244	11/21/22	23:08:47	0.001
245	11/21/22	23:09:47	0
246	11/21/22	23:10:47	0
247	11/21/22	23:11:47	0
248	11/21/22	23:12:47	0
249	11/21/22	23:13:47	0
250	11/21/22	23:14:47	0.001
251	11/21/22	23:15:47	0
252	11/21/22	23:16:47	0
253	11/21/22	23:17:47	0
254	11/21/22	23:18:47	0
255	11/21/22	23:19:47	0
256	11/21/22	23:20:47	0
257	11/21/22	23:21:47	0
258	11/21/22	23:22:47	0
259	11/21/22	23:23:47	0
260	11/21/22	23:24:47	0
261	11/21/22	23:25:47	0
262	11/21/22	23:26:47	0
263	11/21/22	23:27:47	0
264	11/21/22	23:28:47	0
265	11/21/22	23:29:47	0
266	11/21/22	23:30:47	0
267	11/21/22	23:31:47	0
268	11/21/22	23:32:47	0
269	11/21/22	23:33:47	0
270	11/21/22	23:34:47	0.001
271	11/21/22	23:35:47	0.002
272	11/21/22	23:36:47	0.001
273	11/21/22	23:37:47	0.001
274	11/21/22	23:38:47	0
275	11/21/22	23:39:47	0
276	11/21/22	23:40:47	0.001
277	11/21/22	23:41:47	0
278	11/21/22	23:42:47	0.001
279	11/21/22	23:43:47	0
280	11/21/22	23:44:47	0
281	11/21/22	23:45:47	0.001
282	11/21/22	23:46:47	0
283	11/21/22	23:47:47	0
284	11/21/22	23:48:47	0
285	11/21/22	23:49:47	0
286	11/21/22	23:50:47	0.001
287	11/21/22	23:51:47	0.003
288	11/21/22	23:52:47	0
289	11/21/22	23:53:47	0.001
290	11/21/22	23:54:47	0
291	11/21/22	23:55:47	0
292	11/21/22	23:56:47	0
293	11/21/22	23:57:47	0.003
294	11/21/22	23:58:47	0
295	11/21/22	23:59:47	0
296	11/22/22	0:00:47	0
297	11/22/22	0:01:47	0
298	11/22/22	0:02:47	0
299	11/22/22	0:03:47	0.002
300	11/22/22	0:04:47	0
301	11/22/22	0:05:47	0
302	11/22/22	0:06:47	0
303	11/22/22	0:07:47	0.001
304	11/22/22	0:08:47	0
305	11/22/22	0:09:47	0
306	11/22/22	0:10:47	0
307	11/22/22	0:11:47	0.002
308	11/22/22	0:12:47	0
309	11/22/22	0:13:47	0.001
310	11/22/22	0:14:47	0
311	11/22/22	0:15:47	0
312	11/22/22	0:16:47	0
313	11/22/22	0:17:47	0
314	11/22/22	0:18:47	0.002
315	11/22/22	0:19:47	0
316	11/22/22	0:20:47	0
317	11/22/22	0:21:47	0
318	11/22/22	0:22:47	0
319	11/22/22	0:23:47	0
320	11/22/22	0:24:47	0
321	11/22/22	0:25:47	0.001
322	11/22/22	0:26:47	0
323	11/22/22	0:27:47	0
324	11/22/22	0:28:47	0.001
325	11/22/22	0:29:47	0
326	11/22/22	0:30:47	0
327	11/22/22	0:31:47	0
328	11/22/22	0:32:47	0.001
329	11/22/22	0:33:47	0.001
330	11/22/22	0:34:47	0
331	11/22/22	0:35:47	0
332	11/22/22	0:36:47	0
333	11/22/22	0:37:47	0
334	11/22/22	0:38:47	0
335	11/22/22	0:39:47	0
336	11/22/22	0:40:47	0.001
337	11/22/22	0:41:47	0
338	11/22/22	0:42:47	0
339	11/22/22	0:43:47	0
340	11/22/22	0:44:47	0
341	11/22/22	0:45:47	0
342	11/22/22	0:46:47	0
343	11/22/22	0:47:47	0
344	11/22/22	0:48:47	0
345	11/22/22	0:49:47	0
346	11/22/22	0:50:47	0
347	11/22/22	0:51:47	0
348	11/22/22	0:52:47	0
349	11/22/22	0:53:47	0
350	11/22/22	0:54:47	0
351	11/22/22	0:55:47	0.001
352	11/22/22	0:56:47	0
353	11/22/22	0:57:47	0.001
354	11/22/22	0:58:47	0.001
355	11/22/22	0:59:47	0
356	11/22/22	1:00:47	0.001
357	11/22/22	1:01:47	0.001
358	11/22/22	1:02:47	0
359	11/22/22	1:03:47	0
360	11/22/22	1:04:47	0.001
361	11/22/22	1:05:47	0
362	11/22/22	1:06:47	0
363	11/22/22	1:07:47	0.001
364	11/22/22	1:08:47	0
365	11/22/22	1:09:47	0
366	11/22/22	1:10:47	0
367	11/22/22	1:11:47	0
368	11/22/22	1:12:47	0
369	11/22/22	1:13:47	0
370	11/22/22	1:14:47	0
371	11/22/22	1:15:47	0.001
372	11/22/22	1:16:47	0
373	11/22/22	1:17:47	0
374	11/22/22	1:18:47	0
375	11/22/22	1:19:47	0
376	11/22/22	1:20:47	0
377	11/22/22	1:21:47	0
378	11/22/22	1:22:47	0
379	11/22/22	1:23:47	0
380	11/22/22	1:24:47	0
381	11/22/22	1:25:47	0
382	11/22/22	1:26:47	0
383	11/22/22	1:27:47	0
384	11/22/22	1:28:47	0
385	11/22/22	1:29:47	0
386	11/22/22	1:30:47	0
387	11/22/22	1:31:47	0
388	11/22/22	1:32:47	0
389	11/22/22	1:33:47	0
390	11/22/22	1:34:47	0.001
391	11/22/22	1:35:47	0
392	11/22/22	1:36:47	0
393	11/22/22	1:37:47	0.003
394	11/22/22	1:38:47	0
395	11/22/22	1:39:47	0
396	11/22/22	1:40:47	0.001
397	11/22/22	1:41:47	0.001
398	11/22/22	1:42:47	0
399	11/22/22	1:43:47	0
400	11/22/22	1:44:47	0
401	11/22/22	1:45:47	0
